car_id,description,amount,region,make,model,year_of_man,color,condition,mileage,engine_size,selling_cond,bought_cond,trim,drive_train,reg_city,seat,num_cylinder,horse_power,body_build,fuel_type,transmission
BLF5kejSR9bnwqb3YLEsHRWm,Lexus ES 2004 Purple,2625000,"Lagos State, Ikorodu",Lexus,ES,2004,Purple,Foreign Used,176423.0,3300.0,Imported,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
ddLQwInlwsS4A1HMZqYx0yhv,Honda CR-V 2007 Black,2835000,"Lagos State, Alimosho",Honda,CR-V,2007,Black,Nigerian Used,190177.0,2400.0,Registered,Imported,unknown,unknown,Lagos,0,0.0,0.0,SUV,Petrol,Automatic
jSljf1A0lUF21mcE4QZOVm0B,Volkswagen Passat 2008 Black,2600000,"Abuja (FCT), Lugbe District",Volkswagen,Passat,2008,Black,Nigerian Used,225219.0,2000.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
9WMDgplE9tyrMke3NvHcTwFi,Toyota Highlander 2014 Green,15600000,"Abuja (FCT), Katampe",Toyota,Highlander,2014,Green,Nigerian Used,111562.0,3500.0,Registered,Imported,unknown,unknown,ABUJA,0,0.0,0.0,SUV,Petrol,Automatic
1iQntpPBYRdg3AISLiit0cJf,Toyota Camry 2012 Silver,5512000,"Lagos State, Ikoyi",Toyota,Camry,2012,Silver,Nigerian Used,312997.0,2500.0,Registered,Registered,L 4dr Sedan (2.5L 4cyl 6A),Front,LAGOS,5,4.0,178.0,Sedan,Petrol,Automatic
5k2E0FMMs1qZBT8o8DUg1mpM,Honda Accord 2006 Red,1260000,"Lagos State, Ifako-Ijaiye",Honda,Accord,2006,Red,Nigerian Used,348047.0,3000.0,Registered,Registered,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
3CI4WaBuqK5LcBZClBadn14n,Honda Accord 2.4 LX 2008 Silver,2415000,"Lagos State, Isolo",Honda,Accord,2008,Silver,Nigerian Used,195510.0,2400.0,Registered,Imported,2.4 LX,Front Wheel,LAGOS,5,4.0,179.0,Sedan,Petrol,Automatic
7YrbrmyPRNY6fRNIaCLlcvpq,Peugeot 407 2004 White,1575000,"Abuja (FCT), Garki 2",Peugeot,407,2004,White,Nigerian Used,0.0,2900.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
izD3p8aWdRn3mn48mb62bSzA,Toyota Sienna 2004 Gray,3640000,"Lagos State, Alimosho",Toyota,Sienna,2004,Gray,Nigerian Used,314004.0,3300.0,Registered,Imported,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
7It82QGX1j4G9mv8JQ5P7vJw,Honda Pilot 2006 Black,2579200,"Lagos State, Amuwo-Odofin",Honda,Pilot,2006,Black,Nigerian Used,150670.0,3500.0,Registered,Imported,unknown,unknown,LAGOS,0,0.0,0.0,SUV,Petrol,Automatic
